LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
war-lock,verb,1800,0,transitive. Perhaps: to defend (a place) from…,compound,,,Not in use,,military,https://doi.org/10.1093/OED/9779457609,http://www.oed.com/dictionary/war-lock_v2
holoplexia,noun,1801-,1,"General or total paralysis (cf. hemiplegia, n.).",compound,,,In current use,,,https://doi.org/10.1093/OED/8571784921,http://www.oed.com/dictionary/holoplexia_n
minus,verb,1801-,3,"transitive. colloquial. To subtract, remove…",conversion,,colloquial and slang,In current use,,sciences/mathematics,https://doi.org/10.1093/OED/3935962971,http://www.oed.com/dictionary/minus_v
over-cunning,verb,1801,0,transitive. To manage too cunningly.,conversion,,,Not in use,,,https://doi.org/10.1093/OED/3857555048,http://www.oed.com/dictionary/over-cunning_v
grave-clad,adjective,a1802-,0,Dressed in burial garments or clothes.,compound,,,In current use,,,https://doi.org/10.1093/OED/7618283566,http://www.oed.com/dictionary/grave-clad_adj
eulogomania,noun,1802-,1,A mania for eulogy.,compound,,,In current use,,,https://doi.org/10.1093/OED/1572749557,http://www.oed.com/dictionary/eulogomania_n
grasp-all,noun,1802-,0,"One who clutches at everything, a greedy person.",compound,,,In current use,,,https://doi.org/10.1093/OED/5610907018,http://www.oed.com/dictionary/grasp-all_n
jackal,verb,1803-,3,intransitive. Originally: to carry out menial…,conversion,,,In current use,,,https://doi.org/10.1093/OED/3584307183,http://www.oed.com/dictionary/jackal_v
kennelly,adjective,1803-,1,Such as is found in a kennel or gutter.,derivative,,,In current use,,,https://doi.org/10.1093/OED/7469283316,http://www.oed.com/dictionary/kennelly_adj
logonomy,noun,1803-,0,The science of language.,borrowing,,,In current use,,language/linguistics,https://doi.org/10.1093/OED/9392849200,http://www.oed.com/dictionary/logonomy_n
miteology,noun,1803,0,The study of mites.,compound,,,Not in use,,,https://doi.org/10.1093/OED/5592201598,http://www.oed.com/dictionary/miteology_n
turtlize,verb,1803-,0,transitive to turn into or make like a turtle-dove.,derivative,,archaic,In current use,,,https://doi.org/10.1093/OED/2245481602,http://www.oed.com/dictionary/turtlize_v
buckery,noun,1804-,0,"Bucks or swells, collectively or as a class.",derivative,,,In current use,,,https://doi.org/10.1093/OED/1985276658,http://www.oed.com/dictionary/buckery_n
ex-vaccine,adjective,1804,0,Obtained from a cow.,borrowing,,,Not in use,,sciences/life sciences/animals,https://doi.org/10.1093/OED/1101195262,http://www.oed.com/dictionary/ex-vaccine_adj
gruel,verb,1804-,4,To feed with gruel.,conversion,,,In current use,,,https://doi.org/10.1093/OED/2892455963,http://www.oed.com/dictionary/gruel_v
mynheerify,verb,1804,0,intransitive. To study Dutch.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/6596145457,http://www.oed.com/dictionary/mynheerify_v
nigrific,adjective,1804,0,Black.,borrowing,,,Not in use,,,https://doi.org/10.1093/OED/1011016782,http://www.oed.com/dictionary/nigrific_adj
oxify,verb,1804,0,transitive. To make an ox of; to turn into an ox.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1138733825,http://www.oed.com/dictionary/oxify_v
pen-and-inkmanship,noun,1804,0,The occupation of writing.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/3475699075,http://www.oed.com/dictionary/pen-and-inkmanship_n
quidnunckery,noun,1804,0,"= quidnuncism, n.",derivative,,,Not in use,,,https://doi.org/10.1093/OED/1052470392,http://www.oed.com/dictionary/quidnunckery_n
siress,noun,1804-,2,A mother; a matron.,derivative,,,In current use,,,https://doi.org/10.1093/OED/7819743127,http://www.oed.com/dictionary/siress_n
""
Exported 991 of 991 from http://www.oed.com/search/advanced/Entries?textTermText0=%2522isolated%2520use%2522&textTermOpt0=Definition&dateOfUseFirstUse=true&dateOfUseFrom=1621&dateOfUseTo=1804&page=1&sortOption=DateOldFirst&premium=true
Copyright © 2026 Oxford University Press. All rights reserved. Legal Notice: https://www.oed.com/public/legal-notice/
