LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
any-lengthian,adjective,1805,0,Unscrupulous; ready to go any lengths (see…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1003613396,http://www.oed.com/dictionary/any-lengthian_adj
counteractive,"adjective, noun",1805-,3,Tending to counteract.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1847732379,http://www.oed.com/dictionary/counteractive_adj
cudgellee,noun,1805-,0,One who is cudgelled.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1948651543,http://www.oed.com/dictionary/cudgellee_n
needle-spitter,noun,1805,0,A person who snaps or is sharp in speech.,compound,,,Not in use,,,https://doi.org/10.1093/OED/5470837719,http://www.oed.com/dictionary/needle-spitter_n
per-sheeting,noun,1805,0,The practice of charging at so much per sheet…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2713886711,http://www.oed.com/dictionary/per-sheeting_n
scribblage,noun,1805,0,Ephemeral writing; worthless scribblings.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/1178867215,http://www.oed.com/dictionary/scribblage_n
warden-raid,noun,1805-,0,A raid commanded by the Warden of the Marches in…,compound,,,In current use,,,https://doi.org/10.1093/OED/1002675096,http://www.oed.com/dictionary/warden-raid_n
heildom,noun,a1806-,0,Health.,derivative,,,In current use,,,https://doi.org/10.1093/OED/7651883868,http://www.oed.com/dictionary/heildom_n
primosity,noun,?a1806,0,Primness.,derivative,,humorous,Not in use,,,https://doi.org/10.1093/OED/5766088118,http://www.oed.com/dictionary/primosity_n
coterie,verb,1806-,2,To associate in a coterie.,conversion,,,In current use,,,https://doi.org/10.1093/OED/6085490344,http://www.oed.com/dictionary/coterie_v
ethereality,noun,1806-,3,The quality or state of being ethereal…,derivative,,,In current use,,,https://doi.org/10.1093/OED/7107741666,http://www.oed.com/dictionary/ethereality_n
hyaloclast,noun,1806-,0,A glass-breaker.,compound,,,In current use,,,https://doi.org/10.1093/OED/3523593661,http://www.oed.com/dictionary/hyaloclast_n
tunnified,adjective,1806-,0,Grown as big as a tun; very corpulent. (Cf…,derivative,,humorous,In current use,,,https://doi.org/10.1093/OED/1527793728,http://www.oed.com/dictionary/tunnified_adj
monodynamic,"noun, adjective",c1806-,1,Music. Lacking in dynamic variety.,compound,,,In current use,,arts/performing arts/music,https://doi.org/10.1093/OED/8172384787,http://www.oed.com/dictionary/monodynamic_n
ameed,verb,1807,0,transitive. To reward or recompense (a person)…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/8726964000,http://www.oed.com/dictionary/ameed_v
condependent,adjective,1807-,1,Mutually dependent.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1879812082,http://www.oed.com/dictionary/condependent_adj
cosmogyral,adjective,1807-,0,Whirling round the universe.,compound,,,In current use,,,https://doi.org/10.1093/OED/8315794676,http://www.oed.com/dictionary/cosmogyral_adj
crotchet-hero,noun,1807,0,A musician.,compound,,humorous,Not in use,,arts/performing arts/music,https://doi.org/10.1093/OED/5394824952,http://www.oed.com/dictionary/crotchet-hero_n
delassitude,verb,1807-,0,transitive. To deliver or recover from lassitude.,derivative,,,In current use,,,https://doi.org/10.1093/OED/1033666869,http://www.oed.com/dictionary/delassitude_v
errant,verb,1807-,3,intransitive. To travel abroad (like a knight errant).,conversion,,,In current use,,,https://doi.org/10.1093/OED/5155628488,http://www.oed.com/dictionary/errant_v
keel,verb,1807-,4,"transitive. To turn up the keel of, show the…",conversion,,,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/8731262744,http://www.oed.com/dictionary/keel_v2
mentalize,verb,1807-,3,transitive. To construct or picture in the mind…,derivative,,,In current use,,,https://doi.org/10.1093/OED/4492937738,http://www.oed.com/dictionary/mentalize_v
rattage,noun,1807-,1,"a. The percentage of people who ‘rat’ (rat, v.⁵…",derivative,,,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/2822907895,http://www.oed.com/dictionary/rattage_n
weather-wiseacre,noun,1807-,0,One who professes to be weather-wise.,compound,,,In current use,,,https://doi.org/10.1093/OED/9511632768,http://www.oed.com/dictionary/weather-wiseacre_n
Wesleyite,noun,1807-,1,"= Wesleyan, n.",proper name,,,In current use,,religion and belief/religion/Christianity/Methodism,https://doi.org/10.1093/OED/4607481854,http://www.oed.com/dictionary/wesleyite_n
depeditate,verb,1808-,0,transitive. To deprive of one's feet (or the use…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/7078090639,http://www.oed.com/dictionary/depeditate_v
humblefication,noun,1808-,0,A making (oneself) humble.,derivative,,,In current use,,,https://doi.org/10.1093/OED/8122230379,http://www.oed.com/dictionary/humblefication_n
Moorery,noun,1808,0,A Moorish quarter of a city.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/2539864530,http://www.oed.com/dictionary/moorery_n
mortmainer,noun,1808,0,A person who holds a mortmain. In quot…,derivative,,,Not in use,,,https://doi.org/10.1093/OED/7914099550,http://www.oed.com/dictionary/mortmainer_n
panoramal,adjective,1808,0,Prone to take a panoramic view or survey.,derivative,,,Not in use,,arts/literature,https://doi.org/10.1093/OED/9467817329,http://www.oed.com/dictionary/panoramal_adj
crescent,verb,a1809-,2,transitive. To form into a crescent: see…,conversion,,,In current use,,,https://doi.org/10.1093/OED/8671266486,http://www.oed.com/dictionary/crescent_v
juspublicist,noun,1809-,0,One who has to do with public law or rights.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/2315168815,http://www.oed.com/dictionary/juspublicist_n
mellah,noun,1809-,3,A Jewish quarter in a Moroccan town or city. Also…,borrowing,,,In current use,,,https://doi.org/10.1093/OED/9693556054,http://www.oed.com/dictionary/mellah_n
simplicitarian,noun,1809-,0,"A person who lives modestly, plainly, or…",derivative,,,In current use,,,https://doi.org/10.1093/OED/4809896037,http://www.oed.com/dictionary/simplicitarian_n
dog-thick,adjective,a1810,0,"As ‘thick’ as dogs, intimate (cf. dog, n.¹…",compound,,,Not in use,,,https://doi.org/10.1093/OED/6164026113,http://www.oed.com/dictionary/dog-thick_adj
