LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
wolflessness,noun,1928-,0,The state of ‘not having the wolf at the door’…,,,,In current use,,,https://doi.org/10.1093/OED/3796894094,http://www.oed.com/dictionary/wolflessness_n
completist,"noun, adjective",1929-,2,"A person who has collected, or who intends to…",derivative,,,In current use,,,https://doi.org/10.1093/OED/9888343467,http://www.oed.com/dictionary/completist_n
sun-extinct,adjective,1929,0,Inwardly dead.,compound,,poetic and literary,Not in use,,,https://doi.org/10.1093/OED/5505584074,http://www.oed.com/dictionary/sun-extinct_adj
white-breast,verb,a1930-,2,transitive to face or show up against with a…,compound,,,In current use,,,https://doi.org/10.1093/OED/5940888674,http://www.oed.com/dictionary/white-breast_v
abricotine,adjective,1930-,0,Apricot-coloured.,borrowing,,,In current use,,,https://doi.org/10.1093/OED/6100131648,http://www.oed.com/dictionary/abricotine_adj
prostisciutto,noun,1930-,0,A female prostitute regarded metaphorically as an…,blend,,,In current use,,,https://doi.org/10.1093/OED/8843009392,http://www.oed.com/dictionary/prostisciutto_n
pussel-gut,verb,1930-,1,transitive (reflexive). To fatten; to render…,conversion,,,In current use,,sciences/life sciences/animals/fish,https://doi.org/10.1093/OED/6965612640,http://www.oed.com/dictionary/pussel-gut_v
euthanize,verb,1931-,3,intransitive. To receive euthanasia.,derivative,,,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/2237286427,http://www.oed.com/dictionary/euthanize_v
statement,verb,1931-,4,transitive (usually in passive). British…,conversion,,,In current use,Britain and Ireland/British English,"economics and commerce/accounting, education",https://doi.org/10.1093/OED/9419523354,http://www.oed.com/dictionary/statement_v
terracentric,adjective,1932-,1,"Having, or taking, the earth as centre; =…",compound,,,In current use,,sciences/physical sciences/astronomy,https://doi.org/10.1093/OED/8672393968,http://www.oed.com/dictionary/terracentric_adj
indoory,adjective,1934-,0,Preferring to remain indoors.,derivative,,,In current use,,,https://doi.org/10.1093/OED/3153915928,http://www.oed.com/dictionary/indoory_adj
Peter Panic,noun,1934-,0,"Confused, immature behaviour.",blend,,,In current use,,,https://doi.org/10.1093/OED/1038833588,http://www.oed.com/dictionary/peter-panic_n
pugnozzle,verb,1934-,0,intransitive. Of the upper lip and nostrils: to…,compound,,,In current use,,,https://doi.org/10.1093/OED/3007376778,http://www.oed.com/dictionary/pugnozzle_v
speak-out,"noun, adjective",1935-,2,An occasion or event during which people can…,compound,,colloquial and slang,In current use,North American English/U.S. English,,https://doi.org/10.1093/OED/1013083824,http://www.oed.com/dictionary/speak-out_n
nancifully,adverb,1936-,0,derogatory. In a manner stereotypically regarded as…,derivative,,derogatory,In current use,,,https://doi.org/10.1093/OED/1003191363,http://www.oed.com/dictionary/nancifully_adv
nim-nosed,adjective,1936-,0,Swift to pick up the scent.,compound,,,In current use,,,https://doi.org/10.1093/OED/6101152455,http://www.oed.com/dictionary/nim-nosed_adj
