lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
idolatrize,IDOLATRIZE,10,verb,1592-,1592,2,derivative,transitive. figurative. To demonstrate intense or…,printed date range,http://www.oed.com/dictionary/idolatrize_v
ingle,INGLE,5,noun,1592-,1592,3,conversion,"A lover, a sexual partner; esp. a boy or young…",printed date range,http://www.oed.com/dictionary/ingle_n2
lecture,LECTURE,7,verb,a1592-,1592,5,conversion,intransitive. To deliver a lecture or lectures…,printed date range,http://www.oed.com/dictionary/lecture_v
roguery,ROGUERY,7,noun,1592-,1592,3,derivative,An action or practice characteristic of a rogue…,printed date range,http://www.oed.com/dictionary/roguery_n
ass,ASS,3,verb,1593-,1593,4,conversion,intransitive. to ass around (or about): to fool…,printed date range,http://www.oed.com/dictionary/ass_v
beatifical,BEATIFICAL,10,"adjective, noun",1593-,1593,2,borrowing,"Of, relating to, or of the nature of divine or…",printed date range,http://www.oed.com/dictionary/beatifical_adj
Christmas,CHRISTMAS,9,verb,1594-,1594,3,conversion,intransitive. To celebrate Christmas; to spend…,printed date range,http://www.oed.com/dictionary/christmas_v
hot-livered,HOTLIVERED,10,adjective,1594-,1594,1,compound,"Excitable, irascible; cf. hot-tempered, adj. (b)…",printed date range,http://www.oed.com/dictionary/hot-livered_adj
tangent,TANGENT,7,"adjective, noun",1594-,1594,5,borrowing,Geometry. Of a line or surface in relation to…,printed date range,http://www.oed.com/dictionary/tangent_adj
waggle,WAGGLE,6,verb,1594-,1594,4,derivative,transitive. To move (anything held or fixed at…,printed date range,http://www.oed.com/dictionary/waggle_v
finger man,FINGERMAN,9,noun,1596-,1596,2,compound,†a. (Perhaps) a recipient or object of something…,printed date range,http://www.oed.com/dictionary/finger-man_n
flintful,FLINTFUL,8,adjective,1596-,1596,0,derivative,"= flinty, adj.",printed date range,http://www.oed.com/dictionary/flintful_adj
orthographize,ORTHOGRAPHIZE,13,verb,1596-,1596,1,derivative,intransitive. To follow or apply the rules of…,printed date range,http://www.oed.com/dictionary/orthographize_v
patience,PATIENCE,8,verb,1596-,1596,2,conversion,intransitive. To have or exercise patience.,printed date range,http://www.oed.com/dictionary/patience_v
shepherdhood,SHEPHERDHOOD,12,noun,1596-,1596,1,derivative,"(In quot.), the personality of a shepherd.",printed date range,http://www.oed.com/dictionary/shepherdhood_n
stagy,STAGY,5,adjective,1596-,1596,3,derivative,Characteristic or reminiscent of theatrical…,printed date range,http://www.oed.com/dictionary/stagy_adj
stigma,STIGMA,6,noun,1596-,1596,5,borrowing,figurative. A mark of disgrace or infamy; a sign…,printed date range,http://www.oed.com/dictionary/stigma_n
billable,BILLABLE,8,adjective,1597-,1597,4,derivative,Originally and chiefly North American. Esp. of…,printed date range,http://www.oed.com/dictionary/billable_adj
essay,ESSAY,5,noun,1597-,1597,6,borrowing,A composition of moderate length on any…,printed date range,http://www.oed.com/dictionary/essay_n
screw,SCREW,5,verb,?1597-,1597,5,conversion,transitive. To attach or fix with an inserted…,printed date range,http://www.oed.com/dictionary/screw_v
chuckle,CHUCKLE,7,verb,1598-,1598,5,derivative,To laugh in a suppressed manner; to laugh to…,printed date range,http://www.oed.com/dictionary/chuckle_v
enregistrate,ENREGISTRATE,12,adjective,c1598-,1598,0,derivative,Placed on permanent record.,printed date range,http://www.oed.com/dictionary/enregistrate_adj
expiscate,EXPISCATE,9,verb,1598-,1598,1,borrowing,"transitive. To ‘fish out’; hence, to find out by…",printed date range,http://www.oed.com/dictionary/expiscate_v
griever,GRIEVER,7,noun,1598-,1598,3,derivative,One who feels or shows grief.,printed date range,http://www.oed.com/dictionary/griever_n
heel,HEEL,4,verb,1598-,1598,4,conversion,"transitive. To provide (a stocking, shoe, etc.)…",printed date range,http://www.oed.com/dictionary/heel_v3
jure,JURE,4,verb,1598-,1598,4,backformation,"Used contextually with reference to juror, as if…",printed date range,http://www.oed.com/dictionary/jure_v
pistol,PISTOL,6,verb,1598-,1598,4,conversion,"transitive. To shoot (a person, etc.) with a…",printed date range,http://www.oed.com/dictionary/pistol_v
stroke,STROKE,6,verb,1598-,1598,4,conversion,transitive. To mark with streaks or stripes…,printed date range,http://www.oed.com/dictionary/stroke_v2
talkful,TALKFUL,7,"noun, adjective",1598-,1598,0,derivative,"Talkative, garrulous. colloquial or nonstandard…",printed date range,http://www.oed.com/dictionary/talkful_n
trenchmore,TRENCHMORE,10,verb,1598-,1598,1,conversion,(intransitive) to dance the trenchmore.,printed date range,http://www.oed.com/dictionary/trenchmore_v
eyelet hole,EYELETHOLE,10,noun,1599-,1599,2,compound,"= eyelet, n. 1a.",printed date range,http://www.oed.com/dictionary/eyelet-hole_n
thieve-friend,THIEVEFRIEND,12,noun,1599-,1599,0,compound,A friend of thieves.,printed date range,http://www.oed.com/dictionary/thieve-friend_n
Turkize,TURKIZE,7,verb,1599-,1599,1,derivative,transitive. To make Turkish in character or form…,printed date range,http://www.oed.com/dictionary/turkize_v
bellyship,BELLYSHIP,9,noun,1600-,1600,0,derivative,"The personality of the belly; cf. lordship, n…",printed date range,http://www.oed.com/dictionary/bellyship_n
defrock,DEFROCK,7,verb,1600-,1600,3,borrowing,transitive. To deprive (a person in holy orders)…,printed date range,http://www.oed.com/dictionary/defrock_v
Endymiony,ENDYMIONY,9,noun,1600-,1600,0,proper name,Sleepiness like that of Endymion.,printed date range,http://www.oed.com/dictionary/endymiony_n
extravagate,EXTRAVAGATE,11,verb,1600-,1600,2,borrowing,"intransitive. To wander away, stray, from, into…",printed date range,http://www.oed.com/dictionary/extravagate_v
frutify,FRUTIFY,7,verb,1600-,1600,1,variant,A comic blunder attributed to an illiterate…,printed date range,http://www.oed.com/dictionary/frutify_v
Israelize,ISRAELIZE,9,verb,1600-,1600,0,derivative,transitive. To make (a person or thing) Israeli…,printed date range,http://www.oed.com/dictionary/israelize_v
mulish,MULISH,6,adjective,1600-,1600,3,derivative,Characteristic of a mule; resembling a mule…,printed date range,http://www.oed.com/dictionary/mulish_adj
road,ROAD,4,verb,1600-,1600,3,conversion,transitive. Originally New Zealand. To provide…,printed date range,http://www.oed.com/dictionary/road_v1
white boy,WHITEBOY,8,noun,c1600-,1600,4,compound,Originally and chiefly in African American usage…,printed date range,http://www.oed.com/dictionary/white-boy_n
equivocal,EQUIVOCAL,9,"adjective, noun",1601-,1601,5,borrowing,"Of words, phrases, etc.: Having different…",printed date range,http://www.oed.com/dictionary/equivocal_adj
groundling,GROUNDLING,10,noun,1601-,1601,3,derivative,A frequenter of the ‘ground’ or pit of a theatre…,printed date range,http://www.oed.com/dictionary/groundling_n
illocal,ILLOCAL,7,adjective,1601-,1601,1,borrowing,"Not local, having no place or location in space.",printed date range,http://www.oed.com/dictionary/illocal_adj
independency,INDEPENDENCY,12,noun,a1601-,1601,4,derivative,The state or fact of being independent; =…,printed date range,http://www.oed.com/dictionary/independency_n
moon,MOON,4,verb,1601-,1601,4,conversion,colloquial. intransitive. To move or behave…,printed date range,http://www.oed.com/dictionary/moon_v
connive,CONNIVE,7,verb,1602-,1602,4,borrowing,To shut one's eyes to an action that one ought to…,printed date range,http://www.oed.com/dictionary/connive_v
Flushingize,FLUSHINGIZE,11,verb,1602-,1602,0,proper name,transitive. To make like an inhabitant of Flushing.,printed date range,http://www.oed.com/dictionary/flushingize_v
touchy,TOUCHY,6,adjective,1602-,1602,4,derivative,Highly sensitive in temper or disposition; easily…,printed date range,http://www.oed.com/dictionary/touchy_adj
dutiless,DUTILESS,8,adjective,a1603-,1603,2,derivative,Wanting in the performance of duty; undutiful…,printed date range,http://www.oed.com/dictionary/dutiless_adj
multitudinous,MULTITUDINOUS,13,adjective,1603-,1603,4,borrowing,With plural noun: existing in multitudes or great…,printed date range,http://www.oed.com/dictionary/multitudinous_adj
startle,STARTLE,7,noun,1603-,1603,3,conversion,A start of surprise or alarm; an experience of…,printed date range,http://www.oed.com/dictionary/startle_n
wiseacred,WISEACRED,9,adjective,1603-,1603,0,derivative,Having the character of a wiseacre (in quot. 1848…,printed date range,http://www.oed.com/dictionary/wiseacred_adj
galled,GALLED,6,adjective,1604-,1604,1,derivative,"Mixed with gall, made bitter.",printed date range,http://www.oed.com/dictionary/galled_adj1
cosmetic,COSMETIC,8,"adjective, noun",1605-,1605,5,borrowing,Of surgery: improving or modifying the…,printed date range,http://www.oed.com/dictionary/cosmetic_adj
frog,FROG,4,verb,1605-,1605,3,conversion,"intransitive, and transitive with it as object…",printed date range,http://www.oed.com/dictionary/frog_v
gallant,GALLANT,7,verb,1605-,1605,3,conversion,transitive. Of a man: to be charmingly attentive…,printed date range,http://www.oed.com/dictionary/gallant_v
kaily,KAILY,5,adjective,a1605-,1605,1,derivative,Having the characteristics of the ‘kailyard…,printed date range,http://www.oed.com/dictionary/kaily_adj
royalist,ROYALIST,8,"noun, adjective",1605-,1605,5,derivative,A supporter or adherent of a monarch or a…,printed date range,http://www.oed.com/dictionary/royalist_n
stercoration,STERCORATION,12,noun,1605-,1605,1,borrowing,The action or an act of manuring with dung.,printed date range,http://www.oed.com/dictionary/stercoration_n
stringent,STRINGENT,9,adjective,1605-,1605,5,borrowing,"Of regulations, procedure, requirements…",printed date range,http://www.oed.com/dictionary/stringent_adj
thirstless,THIRSTLESS,10,adjective,1605-,1605,2,derivative,Having no thirst; not thirsty.,printed date range,http://www.oed.com/dictionary/thirstless_adj
compend,COMPEND,7,verb,1606-,1606,2,conversion,To narrate briefly.,printed date range,http://www.oed.com/dictionary/compend_v
foreshorten,FORESHORTEN,11,verb,1606-,1606,4,derivative,transitive. Of the effect of visual perspective…,printed date range,http://www.oed.com/dictionary/foreshorten_v
individuity,INDIVIDUITY,11,noun,1606-,1606,1,borrowing,The fact or condition of being an individual…,printed date range,http://www.oed.com/dictionary/individuity_n
infernalship,INFERNALSHIP,12,noun,1606-,1606,0,derivative,The personality of an ‘infernal’.,printed date range,http://www.oed.com/dictionary/infernalship_n
first,FIRST,5,verb,1607-,1607,3,conversion,"transitive. To propose (a resolution), to be the…",printed date range,http://www.oed.com/dictionary/first_v
gnostic,GNOSTIC,7,"adjective, noun",1607-,1607,4,borrowing,Relating to knowledge; cognitive; intellectual.,printed date range,http://www.oed.com/dictionary/gnostic_adj
maritorious,MARITORIOUS,11,adjective,1607-,1607,1,borrowing,Displaying or characterized by such fondness.,printed date range,http://www.oed.com/dictionary/maritorious_adj
peeper,PEEPER,6,noun,1607-,1607,3,derivative,A person who peeps or peers; esp. one who pries…,printed date range,http://www.oed.com/dictionary/peeper_n2
seed crown,SEEDCROWN,9,noun,1607-,1607,1,compound,Botany. Originally: the pappus on a fruit or…,printed date range,http://www.oed.com/dictionary/seed-crown_n
buff,BUFF,4,verb,1608-,1608,3,shortening,In phrase to buff it. To play blind man's buff…,printed date range,http://www.oed.com/dictionary/buff_v5
monster,MONSTER,7,verb,1608-,1608,3,conversion,colloquial (originally Australian). transitive…,printed date range,http://www.oed.com/dictionary/monster_v
separatist,SEPARATIST,10,"noun, adjective",1608-,1608,5,derivative,One who advocates political separation; applied…,printed date range,http://www.oed.com/dictionary/separatist_n
sharking,SHARKING,8,adjective,1608-,1608,3,derivative,That ‘sharks’; †that oppresses by extortion…,printed date range,http://www.oed.com/dictionary/sharking_adj
trunk,TRUNK,5,verb,1608-,1608,3,conversion,To cover or enclose as with a casing; see quots.,printed date range,http://www.oed.com/dictionary/trunk_v2
caged,CAGED,5,adjective,1609-,1609,4,derivative,"Confined in, or as in, a cage. Also with in.",printed date range,http://www.oed.com/dictionary/caged_adj
mealiness,MEALINESS,9,noun,1609-,1609,3,derivative,The quality or condition of being mealy. Also in…,printed date range,http://www.oed.com/dictionary/mealiness_n
anti-Judaism,ANTIJUDAISM,11,noun,1610-,1610,0,derivative,"Opposition, hostility, or prejudice towards…",printed date range,http://www.oed.com/dictionary/anti-judaism_n
conterminant,CONTERMINANT,12,"adjective, noun",1610-,1610,1,borrowing,Terminating together (in time).,printed date range,http://www.oed.com/dictionary/conterminant_adj
