LEMMA,PART OF SPEECH,DATE OF USE,FREQUENCY BAND NUMBER,DEFINITION,TYPE OF FORMATION,LANGUAGE OF ORIGIN,USAGE,OBSOLESCENCE,REGIONAL ENGLISH,SUBJECT,DOI,OED URL
marker,noun,Old English-,6,An object or indicator that acts as a guide to…,derivative,,,In current use,,,https://doi.org/10.1093/OED/1144038930,http://www.oed.com/dictionary/marker_n
milk,verb,Old English-,5,transitive. To draw milk from (a cow or other…,inherited,,,In current use,,,https://doi.org/10.1093/OED/4796870365,http://www.oed.com/dictionary/milk_v
miss,noun,Old English-,4,"Disadvantage or regret caused by loss, absence…",borrowing,,,In current use,Britain and Ireland/British English,,https://doi.org/10.1093/OED/3926197643,http://www.oed.com/dictionary/miss_n1
monk,verb,Old English-,3,"intransitive, and transitive with it as object…",conversion,,derogatory,In current use,,religion and belief/religion,https://doi.org/10.1093/OED/6668860415,http://www.oed.com/dictionary/monk_v
otherwise,"noun, adverb, adjective",Old English-,6,In another case; in other circumstances; if not; else.,compound,,,In current use,,,https://doi.org/10.1093/OED/1502475910,http://www.oed.com/dictionary/otherwise_n
overhear,verb,Old English-,5,"transitive. To hear (words spoken, a person…",inherited,,,In current use,,,https://doi.org/10.1093/OED/1811789195,http://www.oed.com/dictionary/overhear_v
overtrow,noun,Old English-1891,0,Overconfidence.,derivative,,,Not in use,,,https://doi.org/10.1093/OED/4250946518,http://www.oed.com/dictionary/overtrow_n
playman,noun,Old English-1844,0,A person who practises physical exercise; an athlete.,compound,,,Not in use,,"sport and leisure/games/gambling, sport and leisure/sport/athletics",https://doi.org/10.1093/OED/2133348636,http://www.oed.com/dictionary/playman_n
pound,noun,Old English-,6,A unit of weight and mass originally derived from…,inherited,,,In current use,,economics and commerce,https://doi.org/10.1093/OED/4704381572,http://www.oed.com/dictionary/pound_n1
pull,verb,Old English-,6,transitive. To exert upon (something) a force…,uncertain,,,In current use,,,https://doi.org/10.1093/OED/1137989210,http://www.oed.com/dictionary/pull_v
rear,verb,Old English-,5,transitive. To bring up (a child) to maturity; to…,inherited,,,In current use,,,https://doi.org/10.1093/OED/7033274216,http://www.oed.com/dictionary/rear_v1
red,"adjective, noun",Old English-,6,"Designating the colour of blood, a ruby, a ripe…",inherited,,,In current use,,,https://doi.org/10.1093/OED/1089329307,http://www.oed.com/dictionary/red_adj
row,verb,Old English-,5,transitive. To propel (a boat or other vessel) by…,inherited,,,In current use,,sport and leisure/sport/water sports/rowing,https://doi.org/10.1093/OED/4423063271,http://www.oed.com/dictionary/row_v1
sake,noun,Old English-,6,Out of consideration for; on account of one's…,inherited,,,In current use,,,https://doi.org/10.1093/OED/2067509789,http://www.oed.com/dictionary/sake_n1
seam,noun,Old English-,5,The junction made by sewing together the edges of…,inherited,,,In current use,,crafts and trades,https://doi.org/10.1093/OED/1640294312,http://www.oed.com/dictionary/seam_n1
sedge,noun,Old English-,4,A name for various coarse grassy… As the name of…,inherited,,,In current use,,,https://doi.org/10.1093/OED/3195090723,http://www.oed.com/dictionary/sedge_n1
see,verb,Old English-,8,To perceive with the eyes (a… transitive. With…,inherited,,,In current use,,,https://doi.org/10.1093/OED/4953027704,http://www.oed.com/dictionary/see_v
